{1=sample1,2=KM3245432}
Axis Photonique
Scan Type: From File
W:\Collins\2026Feb\.macro\znpc_fixed_angle_10_.txt
Delay After Move (s): 0.00000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\260211\CCD Scan 88169
Time	Frame #	Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Beamline Energy	Higher Order Suppressor	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Deriv Photodiode	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint	Total Flux	Counts	Background	Filename
23:16:17	1.00000000	25.20000000	98.86000000	4.04500000	10.00000000	20.00000000	250.00229337	10.09999346	190.00000000	0.00000000	0.00000000	423.45233435	-0.00163762	-0.17506801	-0.09807485	1.00310956	-0.01674837	-0.01791577	-0.89944421	0.00015991	298.62440395	0.00000000	0.00000000	488264.00000000	0.00105302	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	49327328.00000000	0.00000000	znpc_10_p_88169-00001
23:16:22	2.00000000	25.21000000	98.86000000	4.04500000	10.00000000	20.00000000	250.99660491	10.09999346	190.00000000	0.00000000	0.00000000	423.39213843	-0.00155330	-0.18621268	-0.09836192	0.99741427	-0.01715569	-0.01598107	-0.85236702	0.00016484	298.60012648	0.00000000	0.00000000	492992.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	49422058.00000000	0.00000000	znpc_10_p_88169-00002
23:16:25	3.00000000	25.22000000	98.86000000	4.04500000	10.00000000	20.00000000	252.00269448	10.09999346	190.00000000	0.00000000	0.00000000	423.32866187	-0.00164827	-0.17489048	-0.09820971	0.99437036	-0.01660504	-0.01716556	-0.91413940	0.00014840	298.75782089	0.00000000	0.00000000	489216.00000000	0.00113347	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	49585957.00000000	0.00000000	znpc_10_p_88169-00003
23:16:29	4.00000000	25.23000000	98.86000000	4.04500000	10.00000000	20.00000000	253.00719966	10.09999346	190.00000000	0.00000000	0.00000000	423.27830786	-0.00167079	-0.17846730	-0.09822592	0.99791890	-0.01699362	-0.01708929	-0.88011363	0.00015728	298.68979636	0.00000000	0.00000000	484080.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	49979098.00000000	0.00000000	znpc_10_p_88169-00004
23:16:32	5.00000000	25.24000000	98.86000000	4.04500000	10.00000000	20.00000000	254.00023068	10.09999346	190.00000000	0.00000000	0.00000000	423.21834082	-0.00166474	-0.18450646	-0.09838766	0.99788011	-0.01672569	-0.01732763	-0.90368510	0.00017404	298.70609879	0.00000000	0.00000000	485232.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	50224570.00000000	0.00000000	znpc_10_p_88169-00005
23:16:36	6.00000000	25.25000000	98.86000000	4.04500000	10.00000000	20.00000000	255.00894973	10.09999346	190.00000000	0.00000000	0.00000000	423.15822119	-0.00166642	-0.18167262	-0.09827145	0.99985590	-0.01665829	-0.01703044	-0.88977892	0.00017799	298.71850875	0.00000000	0.00000000	488088.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	50603120.00000000	0.00000000	znpc_10_p_88169-00006
23:16:41	7.00000000	25.26000000	98.86000000	4.04500000	10.00000000	20.00000000	255.99796195	10.09999346	190.00000000	0.00000000	0.00000000	423.08375830	-0.00162398	-0.19273182	-0.09866164	1.00992786	-0.01653370	-0.01710934	-0.89500607	0.00017733	298.62437365	0.00000000	0.00000000	489300.00000000	0.00101269	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	50843693.00000000	0.00000000	znpc_10_p_88169-00007
23:16:45	8.00000000	25.27000000	98.86000000	4.04500000	10.00000000	20.00000000	257.00266116	10.09999346	190.00000000	0.00000000	0.00000000	423.02000199	-0.00162760	-0.17594577	-0.09861457	1.01172613	-0.01667046	-0.01666684	-0.88678729	0.00015925	298.76199715	0.00000000	0.00000000	485648.00000000	0.00108495	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	51024696.00000000	0.00000000	znpc_10_p_88169-00008
23:16:49	9.00000000	25.28000000	98.86000000	4.04500000	10.00000000	20.00000000	258.00118345	10.09999346	190.00000000	0.00000000	0.00000000	422.97145361	-0.00165656	-0.17936479	-0.09831797	0.99878911	-0.01655178	-0.01780333	-0.89674845	0.00017141	298.77506582	0.00000000	0.00000000	486868.00000000	0.00101597	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	51250830.00000000	0.00000000	znpc_10_p_88169-00009
23:16:52	10.00000000	25.29000000	98.86000000	4.04500000	10.00000000	20.00000000	259.00952026	10.09999346	190.00000000	0.00000000	0.00000000	422.91153743	-0.00163138	-0.18638363	-0.09819764	1.00313454	-0.01672766	-0.01662443	-0.85230127	0.00017799	298.74507248	0.00000000	0.00000000	487732.00000000	0.00109116	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	51353348.00000000	0.00000000	znpc_10_p_88169-00010
23:16:56	11.00000000	25.30000000	98.86000000	4.04500000	10.00000000	20.00000000	260.00941088	10.09999346	190.00000000	0.00000000	0.00000000	422.85350317	-0.00165791	-0.19828443	-0.09822897	0.99868325	-0.01652482	-0.01766592	-0.91229839	0.00015695	298.74499479	0.00000000	0.00000000	489236.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	51464178.00000000	0.00000000	znpc_10_p_88169-00011
23:16:59	12.00000000	25.31000000	98.86000000	4.04500000	10.00000000	20.00000000	261.00262774	10.09999346	190.00000000	0.00000000	0.00000000	422.79933447	-0.00162763	-0.19465830	-0.09818361	1.00012548	-0.01652186	-0.01708304	-0.91351477	0.00016221	298.74099143	0.00000000	0.00000000	492424.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	51524023.00000000	0.00000000	znpc_10_p_88169-00012
23:17:03	13.00000000	25.32000000	98.86000000	4.04500000	10.00000000	20.00000000	262.01798955	10.09999346	190.00000000	0.00000000	0.00000000	422.75119299	-0.00165942	-0.19223869	-0.09802008	0.99815100	-0.01650378	-0.01709948	-0.88159301	0.00017503	298.72977639	0.00000000	0.00000000	484984.00000000	0.00109925	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	51527422.00000000	0.00000000	znpc_10_p_88169-00013
23:17:06	14.00000000	25.33000000	98.86000000	4.04500000	10.00000000	20.00000000	262.99734932	10.09999346	190.00000000	0.00000000	0.00000000	422.71403784	-0.00164107	-0.18918788	-0.09838625	0.99856292	-0.01648044	-0.01734177	-0.91621053	0.00015695	298.71194673	0.00000000	0.00000000	484468.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	51642357.00000000	0.00000000	znpc_10_p_88169-00014
23:17:10	15.00000000	25.34000000	98.86000000	4.04500000	10.00000000	20.00000000	264.00302117	10.09999346	190.00000000	0.00000000	0.00000000	422.65223975	-0.00162852	-0.19574318	-0.09811483	1.00331897	-0.01661490	-0.01604780	-0.91972817	0.00014478	298.80451044	0.00000000	0.00000000	486412.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	51348929.00000000	0.00000000	znpc_10_p_88169-00015
23:17:13	16.00000000	25.35000000	98.86000000	4.04500000	10.00000000	20.00000000	265.00154491	10.09999346	190.00000000	0.00000000	0.00000000	422.59542619	-0.00166238	-0.18310926	-0.09838520	1.00131885	-0.01663988	-0.01684470	-0.89467732	0.00015300	298.67551935	0.00000000	0.00000000	489540.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	51165824.00000000	0.00000000	znpc_10_p_88169-00016
23:17:17	17.00000000	25.36000000	98.86000000	4.04500000	10.00000000	20.00000000	266.01192676	10.09999346	190.00000000	0.00000000	0.00000000	422.54039282	-0.00167717	-0.20108210	-0.09829752	1.00462411	-0.01665665	-0.01648274	-0.88770779	0.00014873	298.84228579	0.00000000	0.00000000	494456.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	50874541.00000000	0.00000000	znpc_10_p_88169-00017
23:17:20	18.00000000	25.37000000	98.86000000	4.04500000	10.00000000	20.00000000	267.01279143	10.09999346	190.00000000	0.00000000	0.00000000	422.48238399	-0.00166553	-0.19194939	-0.09827621	1.00608048	-0.01656164	-0.01733059	-0.91538865	0.00015300	298.77551014	0.00000000	0.00000000	483412.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	50797495.00000000	0.00000000	znpc_10_p_88169-00018
23:17:24	19.00000000	25.38000000	98.86000000	4.04500000	10.00000000	20.00000000	268.01035235	10.09999346	190.00000000	0.00000000	0.00000000	422.43113989	-0.00166892	-0.19590755	-0.09843766	1.00613834	-0.01674278	-0.01741311	-0.90089072	0.00018128	298.89856884	0.00000000	0.00000000	487628.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	50800220.00000000	0.00000000	znpc_10_p_88169-00019
23:17:27	20.00000000	25.39000000	98.86000000	4.04500000	10.00000000	20.00000000	269.00882703	10.09999346	190.00000000	0.00000000	0.00000000	422.37056250	-0.00169233	-0.20322227	-0.09828032	1.00550418	-0.01627661	-0.01782996	-0.93389735	0.00016845	298.92256386	0.00000000	0.00000000	486812.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	50635494.00000000	0.00000000	znpc_10_p_88169-00020
23:17:31	21.00000000	25.40000000	98.86000000	4.04500000	10.00000000	20.00000000	270.00594790	10.09999346	190.00000000	0.00000000	0.00000000	422.32661719	-0.00167862	-0.20047720	-0.09847738	1.00591348	-0.01660668	-0.01696732	-0.89957571	0.00017437	298.80714243	0.00000000	0.00000000	488556.00000000	0.00105677	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	50204431.00000000	0.00000000	znpc_10_p_88169-00021
23:17:34	22.00000000	25.41000000	98.86000000	4.04500000	10.00000000	20.00000000	271.01048500	10.09999346	190.00000000	0.00000000	0.00000000	422.28068823	-0.00167231	-0.19965861	-0.09831027	1.00625143	-0.01678059	-0.01690288	-0.92199655	0.00014248	298.66780648	0.00000000	0.00000000	489656.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	49689245.00000000	0.00000000	znpc_10_p_88169-00022
23:17:38	23.00000000	25.42000000	98.86000000	4.04500000	10.00000000	20.00000000	272.01133445	10.09999346	190.00000000	0.00000000	0.00000000	422.22026343	-0.00165314	-0.19836990	-0.09784381	0.99946765	-0.01655342	-0.01713498	-0.89424994	0.00015958	298.65314579	0.00000000	0.00000000	490480.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	49164357.00000000	0.00000000	znpc_10_p_88169-00023
23:17:41	24.00000000	25.43000000	98.86000000	4.04500000	10.00000000	20.00000000	272.99931681	10.09999346	190.00000000	0.00000000	0.00000000	422.17199479	-0.00167155	-0.19597330	-0.09787277	0.99856391	-0.01686376	-0.01724709	-0.88455178	0.00015366	298.68273980	0.00000000	0.00000000	484776.00000000	0.00110579	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	48967950.00000000	0.00000000	znpc_10_p_88169-00024
23:17:45	25.00000000	25.44000000	98.86000000	4.04500000	10.00000000	20.00000000	274.00357957	10.09999346	190.00000000	0.00000000	0.00000000	422.11390967	-0.00165630	-0.20259436	-0.09833970	0.99856457	-0.01667374	-0.01720172	-0.90739999	0.00017076	298.80132447	0.00000000	0.00000000	486784.00000000	0.00107821	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	48750332.00000000	0.00000000	znpc_10_p_88169-00025
23:17:48	26.00000000	25.45000000	98.86000000	4.04500000	10.00000000	20.00000000	275.00839430	10.09999346	190.00000000	0.00000000	0.00000000	422.05882544	-0.00165140	-0.20161796	-0.09793481	0.99580897	-0.01649227	-0.01733256	-0.91907067	0.00017108	299.08201172	0.00000000	0.00000000	488868.00000000	0.00110224	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	48337467.00000000	0.00000000	znpc_10_p_88169-00026
23:17:52	27.00000000	25.46000000	98.86000000	4.04500000	10.00000000	20.00000000	275.99756750	10.09999346	190.00000000	0.00000000	0.00000000	421.99931616	-0.00169144	-0.19801814	-0.09834492	0.99838080	-0.01665665	-0.01747360	-0.90904375	0.00016089	298.77672962	0.00000000	0.00000000	489248.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	47833836.00000000	0.00000000	znpc_10_p_88169-00027
23:17:55	28.00000000	25.47000000	98.86000000	4.04500000	10.00000000	20.00000000	277.00315935	10.09999346	190.00000000	0.00000000	0.00000000	421.94858069	-0.00163710	-0.21062904	-0.09797123	0.99899458	-0.01666191	-0.01745387	-0.90858350	0.00016714	298.70345777	0.00000000	0.00000000	489900.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	47362391.00000000	0.00000000	znpc_10_p_88169-00028
23:17:59	29.00000000	25.48000000	98.86000000	4.04500000	10.00000000	20.00000000	278.00909135	10.09999346	190.00000000	0.00000000	0.00000000	421.88538387	-0.00165521	-0.20170015	-0.09798889	1.00076786	-0.01666059	-0.01722342	-0.86568145	0.00019443	298.71290174	0.00000000	0.00000000	485320.00000000	0.00110832	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	46647639.00000000	0.00000000	znpc_10_p_88169-00029
23:18:03	30.00000000	25.49000000	98.86000000	4.04500000	10.00000000	20.00000000	279.01058306	10.09999346	190.00000000	0.00000000	0.00000000	421.83986182	-0.00166994	-0.20736783	-0.09822338	1.00770419	-0.01655244	-0.01761332	-0.93435761	0.00016977	298.78704696	0.00000000	0.00000000	486616.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	45896166.00000000	0.00000000	znpc_10_p_88169-00030
23:18:07	31.00000000	25.50000000	98.86000000	4.04500000	10.00000000	20.00000000	279.99560618	10.09999346	190.00000000	0.00000000	0.00000000	421.78103918	-0.00167640	-0.21286290	-0.09833514	1.00426824	-0.01674097	-0.01736330	-0.93013315	0.00014035	298.69217331	0.00000000	0.00000000	488668.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	60298042.00000000	0.00000000	znpc_10_p_88169-00031
23:18:11	32.00000000	25.51000000	98.86000000	4.04500000	10.00000000	20.00000000	280.10231939	10.09999346	190.00000000	0.00000000	0.00000000	421.71885962	-0.00167060	-0.20962799	-0.09836970	1.00400655	-0.01647830	-0.01734686	-0.91813373	0.00014972	298.79832312	0.00000000	0.00000000	491292.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	60341272.00000000	0.00000000	znpc_10_p_88169-00032
23:18:15	33.00000000	25.52000000	98.86000000	4.04500000	10.00000000	20.00000000	280.19961779	10.09999346	190.00000000	0.00000000	0.00000000	421.65751929	-0.00165883	-0.20831956	-0.09854181	0.99986067	-0.01653337	-0.01792908	-0.89761964	0.00014051	298.77990002	0.00000000	0.00000000	484076.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	60116617.00000000	0.00000000	znpc_10_p_88169-00033
23:18:19	34.00000000	25.53000000	98.86000000	4.04500000	10.00000000	20.00000000	280.29935941	10.09999346	190.00000000	0.00000000	0.00000000	421.59287751	-0.00166775	-0.21173364	-0.09835937	1.00191685	-0.01688365	-0.01752192	-0.92250612	0.00016714	298.67624462	0.00000000	0.00000000	484712.00000000	0.00104671	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	59996925.00000000	0.00000000	znpc_10_p_88169-00034
23:18:23	35.00000000	25.54000000	98.86000000	4.04500000	10.00000000	20.00000000	280.40154939	10.09999346	190.00000000	0.00000000	0.00000000	421.52804846	-0.00164244	-0.20887022	-0.09828244	1.00589687	-0.01686212	-0.01720829	-0.91142720	0.00014824	298.68535623	0.00000000	0.00000000	488544.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	59741511.00000000	0.00000000	znpc_10_p_88169-00035
23:18:27	36.00000000	25.55000000	98.86000000	4.04500000	10.00000000	20.00000000	280.50143479	10.09999346	190.00000000	0.00000000	0.00000000	421.47082800	-0.00167160	-0.20894583	-0.09849967	1.00163264	-0.01658811	-0.01718561	-0.87996570	0.00016336	298.71656967	0.00000000	0.00000000	489192.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	59638556.00000000	0.00000000	znpc_10_p_88169-00036
23:18:31	37.00000000	25.56000000	98.86000000	4.04500000	10.00000000	20.00000000	280.59901059	10.09999346	190.00000000	0.00000000	0.00000000	421.41078467	-0.00164586	-0.20899515	-0.09837571	1.00537235	-0.01644921	-0.01697866	-0.90550967	0.00015826	298.74302871	0.00000000	0.00000000	489476.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	59331310.00000000	0.00000000	znpc_10_p_88169-00037
23:18:35	38.00000000	25.57000000	98.86000000	4.04500000	10.00000000	20.00000000	280.70380161	10.09999346	190.00000000	0.00000000	0.00000000	421.99527258	-0.00164489	-0.20869269	-0.09828368	0.99967509	-0.01653797	-0.01716819	-0.90414536	0.00017092	298.65505054	0.00000000	0.00000000	484088.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	59199836.00000000	0.00000000	znpc_10_p_88169-00038
