energy,n_xx,n_ixx,n_zz,n_izz
10.0,-0.2289388046104787,0.278839729769231,-0.2304403852475126,0.278839729769231
10.1617,-0.24313719435397962,0.2815370036488771,-0.24459156077146588,0.2815370036488771
10.18225,-0.23421071394840265,0.28191890407936987,-0.2356592406040843,0.28191890407936987
10.2028,-0.22637550487601457,0.2822954464993902,-0.22781822702164836,0.2822954464993902
10.2439,-0.21322250166781273,0.2830326778704298,-0.2146537194179584,0.2830326778704298
10.285,-0.20256626913133557,0.28374913265736573,-0.20398612013045767,0.28374913265736573
10.3261,-0.19376695460458748,0.28444523596773913,-0.1951755743092915,0.28444523596773913
10.36785,-0.1862284236533582,0.2852585158809955,-0.1876257709211384,0.2852585158809955
10.409600000000001,-0.17974489956000675,0.2860496234990485,-0.18113110975281982,0.2860496234990485
10.4931,-0.16931100449250433,0.2875671216884927,-0.17067533802745263,0.2875671216884927
10.577950000000001,-0.16119533568484185,0.2892756746217314,-0.1625379674548697,0.2892756746217314
10.6628,-0.1549299077362956,0.2908936410041982,-0.15625135376465987,0.2908936410041982
10.74905,-0.14993703283700288,0.29286340090627677,-0.15123745570485622,0.29286340090627677
10.8353,-0.1460797700975902,0.294733828699205,-0.14735966985079835,0.294733828699205
11.0106,-0.1402072152933845,0.2996986827943686,-0.14144687902796266,0.2996986827943686
11.1886,-0.1358697877752676,0.30508679475088024,-0.13707051558193242,0.30508679475088024
11.3696,-0.13240220011116652,0.31101645326847177,-0.13356519612353013,0.31101645326847177
11.5535,-0.12930717113671086,0.3171817473554019,-0.13043363262159485,0.3171817473554019
11.7404,-0.1263111628818576,0.32357924653010034,-0.12740223896708508,0.32357924653010034
11.9303,-0.12287993053350046,0.3301783516666292,-0.12393674304701535,0.3301783516666292
12.1232,-0.11943231938835114,0.33571600652704653,-0.12045596248312652,0.33571600652704653
12.3193,-0.11650263048153552,0.3413667720242396,-0.11749413839538458,0.3413667720242396
12.5186,-0.11364673306239602,0.3474800088763445,-0.11460711648989949,0.3474800088763445
12.721,-0.11028935097492788,0.35422695904773266,-0.11121961114160371,0.35422695904773266
12.9268,-0.10609274634210149,0.3611249907059915,-0.10699381655766345,0.3611249907059915
13.1359,-0.10083731833409776,0.368235507626898,-0.10171012455626448,0.368235507626898
13.2421,-0.09755399157268688,0.3719564766167597,-0.09841295275247039,0.3719564766167597
13.295200000000001,-0.09560166440103644,0.3737548447217656,-0.09645382714801959,0.3737548447217656
13.3483,-0.09320102683201824,0.3755128816179319,-0.09404647212057515,0.3755128816179319
