Q,Refl_s,Refl_p
0.005,0.3535395271357261,0.18736773802278528
0.005265665665665666,0.33401970411739323,0.16794259828509148
0.005531331331331332,0.31601025195690013,0.1501609796965081
0.0057969969969969976,0.29941868315692244,0.13391268530712547
0.0060626626626626625,0.2841582867975426,0.11909648810371382
0.006328328328328328,0.2701477418549138,0.1056192627649986
0.006593993993993994,0.2573107523647082,0.09339520896562868
0.00685965965965966,0.24557570386141206,0.0823451553063706
0.007125325325325326,0.234875340378241,0.07239593437025714
0.007390990990990991,0.22514646118757076,0.06347982062300717
0.0076566566566566565,0.2163296363945778,0.05553402392839422
0.007922322322322322,0.20836894045728768,0.04850023235709329
0.008187987987987987,0.20121170268992794,0.04232419875249312
0.008453653653653654,0.1948082738065982,0.03695536619847492
0.008719319319319319,0.18911180757741738,0.0323465281261827
0.008984984984984984,0.18407805669309538,0.028453519311397293
0.00925065065065065,0.17966518196729253,0.025234934466103705
0.009516316316316317,0.17583357404364508,0.022651871520259062
0.009781981981981982,0.17254568681616628,0.020667697036919484
0.010047647647647647,0.16976588181674565,0.019247831507264144
0.010313313313313314,0.16746028286989773,0.018359552541956852
0.010578978978978979,0.16559664036147562,0.01797181421199386
0.010844644644644644,0.16414420451610812,0.018055081004509504
0.01111031031031031,0.163073607124782,0.018581175046892235
0.011375975975975977,0.1623567512111068,0.019523135421105207
0.01164164164164164,0.1619667081702971,0.020855088541697608
0.011907307307307307,0.16187762196027375,0.022552128706973807
0.012172972972972974,0.16206461996801283,0.024590208056319066
0.012438638638638639,0.1625037302173187,0.026946035278454347
0.012704304304304304,0.16317180462590467,0.029596982517099277
0.01296996996996997,0.16404644806033053,0.03252100001358076
0.013235635635635637,0.16510595297667416,0.035696538110236424
0.0135013013013013,0.16632923947317163,0.039102476316572383
0.013766966966966967,0.16769580061767744,0.04271805920973428
0.014032632632632634,0.16918565294853177,0.04652283900579512
0.014298298298298297,0.1707792920813374,0.05049662469580163
0.014563963963963963,0.17245765338623317,0.05461943769170024
0.01482962962962963,0.17420207773083538,0.058871473972884225
