Q,Refl_s,Refl_p
0.005,0.4132669853219772,0.7372190802458707
0.005067067067067067,0.4091449998434675,0.7342911991533623
0.005134134134134135,0.4050881007187828,0.7313675459952117
0.0052012012012012014,0.4010955873119051,0.7284480552729805
0.005268268268268268,0.39716676615260726,0.7255326625928159
0.005335335335335335,0.3933009508664331,0.7226213046665692
0.005402402402402403,0.3894974621043088,0.7197139193139315
0.00546946946946947,0.38575562747124903,0.7168104454645599
0.0055365365365365364,0.3820747814527822,0.7139108231599389
0.005603603603603603,0.3784542653428304,0.7110149935568811
0.005670670670670671,0.3748934271682907,0.7081228989296398
0.005737737737737738,0.37139162161547257,0.7052344826741449
0.005804804804804805,0.36794820995357147,0.7023496893107697
0.005871871871871872,0.3645625599590844,0.6994684644885358
0.005938938938938939,0.36123404583928603,0.6965907549891729
0.006006006006006006,0.35796204815576127,0.6937165087320043
0.006073073073073073,0.35474595374653517,0.690845674778068
0.00614014014014014,0.35158515564887566,0.6879782033354884
0.006207207207207207,0.3484790530214633,0.6851140457647181
0.006274274274274274,0.34542705106708615,0.6822531545846734
0.006341341341341341,0.3424285609534762,0.6793954834776975
0.006408408408408409,0.33948299973608476,0.6765409872964833
0.0064754754754754755,0.33658979027982666,0.6736896220705608
0.006542542542542542,0.333748361180536,0.6708413450126354
0.00660960960960961,0.3309581466873911,0.6679961145260884
0.006676676676676677,0.3282185866247213,0.6651538902121352
0.006743743743743744,0.3255291263142808,0.662314632877584
0.0068108108108108105,0.32288921649749686,0.6594783045425578
0.006877877877877877,0.3202983132582125,0.6566448684488405
0.006944944944944945,0.3177558779452819,0.6538142890682539
0.007012012012012012,0.315261377096063,0.6509865321116824
0.007079079079079079,0.3128142823595345,0.6481615645377794
0.007146146146146146,0.31041407041999025,0.6453393545622282
0.007213213213213213,0.3080602229214326,0.6425198716675793
0.00728028028028028,0.30575222639205335,0.6397030866130576
0.007347347347347348,0.3034895721689819,0.6368889714443547
0.007414414414414414,0.3012717563240384,0.6340774995044322
0.007481481481481481,0.2990982795889984,0.6312686454434223
0.007548548548548548,0.296968647282664,0.6284623852303657
0.007615615615615615,0.2948823692372019,0.6256586961637014
0.007682682682682683,0.29283895972585827,0.622857556882964
0.0077497497497497495,0.2908379373906225,0.620058947380003
0.007816816816816816,0.2888788251708732,0.61726284901115
0.007883883883883884,0.28696115023264934,0.6144692445093974
0.00795095095095095,0.28508444389789855,0.6116781179960741
0.008018018018018018,0.2832482415752598,0.6088894549941347
0.008085085085085084,0.281452082690595,0.6061032424402969
0.008152152152152151,0.2796955106188706,0.6033194686983679
